,caption,gold,id,most_frequent_percentage,object_a,object_b,origin,paths,pred_if,pred_lex,predicted,repeated,s_len,sentence,sentencer
E666204601,middle_paths_unrestricted_16,NONE,,1.0,Bluetooth,USB,lex (unique),"[['X/ADJ/amod/> have/VERB/ROOT/^ charge/VERB/acl/< via/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/ADJ/amod/> have/VERB/ROOT/^ charge/VERB/acl/< via/ADP/prep/<', 'micro/ADJ/compound/V Y/PROPN/pobj/<']]",,,ARG,False,81,"Even better, the Bluetooth controller has its own battery, charged via micro USB.","Even better, the Bluetooth controller has its own battery, charged via', 'micro USB."
E671037294,middle_paths_unrestricted_16,ARG,,0.6,Chevrolet,Ford,lex (unique),"[['X/PROPN/compound/> cause/VERB/ROOT/^ amenity/NOUN/pobj/<', 'Y/PROPN/appos/<'], ['X/PROPN/compound/> cause/VERB/ROOT/^ amenity/NOUN/pobj/<', 'henry/PROPN/compound/V Y/PROPN/appos/<']]",,,NONE,False,239,"Even though Chevrolet models in the mid-1920s () caused the mere demise of Model T due to its superior amenities against the stereotype-driven T form, Henry Ford undoubtedly installed value to his product through price leadership strategy.","Even though Chevrolet models in the mid-1920s () caused the mere', 'demise of Model T due to its superior amenities against the', 'stereotype-driven T form, Henry Ford undoubtedly installed value to', 'his product through price leadership strategy."
E673688725,middle_paths_unrestricted_16,ARG,,0.8,Windows 8,Windows XP,lex (unique),"[['X/PROPN/nsubj/> do/VERB/ROOT/^ job/NOUN/dobj/< of/ADP/prep/<', 'play/VERB/pcomp/< game/NOUN/dobj/< hark/VERB/relcl/< back/ADV/advmod/<', 'to/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> do/VERB/ROOT/^ job/NOUN/dobj/< of/ADP/prep/<', 'play/VERB/pcomp/< game/NOUN/dobj/< hark/VERB/relcl/< back/ADV/advmod/<', 'to/ADP/prep/< the/DET/det/V Y/PROPN/pobj/<']]",,,NONE,False,106,Even Windows 8 does (in my experience) a decent job of playing games that hark back to the Windows XP era.,"Even Windows 8 does (in my experience) a decent job of playing games', 'that hark back to the Windows XP era."
E673917026,middle_paths_unrestricted_16,ARG,,1.0,Scala,Java,lex (unique),[['NOPATH']],,,NONE,True,107,"Even without the heavy functional stuff, just as a basic OO language, Scala is far better than C++/Java/C#.","Even without the heavy functional stuff, just as a basic OO language,', 'Scala is far better than C++/Java/C#."
E682491354,middle_paths_unrestricted_16,ARG,,1.0,Windows XP,Windows 8,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ nothing/NOUN/conj/V Y/PROPN/pobj/<']]",,,NONE,False,85,Exactly like Windows XP and 7 and nothing like Windows 8. but with better performance,"Exactly like Windows XP and 7 and nothing like Windows 8. but with', 'better performance"
E696093861,middle_paths_unrestricted_16,NONE,,1.0,football,golf,lex (unique),"[['X/PROPN/nsubj/> be/VERB/ROOT/^ memory/NOUN/attr/<', 'transition/NOUN/conj/< to/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> be/VERB/ROOT/^ memory/NOUN/attr/<', 'transition/NOUN/conj/< to/ADP/prep/< fantasy/NOUN/compound/V', 'Y/PROPN/pobj/<']]",,,ARG,True,99,Fantasy football is now a memory and the transition to fantasy golf couldn't come at a better time.,"Fantasy football is now a memory and the transition to fantasy golf', ""couldn't come at a better time."
E697374083,middle_paths_unrestricted_16,ARG,,1.0,Samsung,Toshiba,lex (unique),"[['X/PROPN/compound/> ssds/NOUN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/compound/> ssds/NOUN/ROOT/^ slow/ADJ/amod/V Y/PROPN/conj/<']]",,,NONE,False,83,faster Samsung SSDs in some units and significantly slower Toshiba SSDs in others).,"faster Samsung SSDs in some units and significantly slower Toshiba', 'SSDs in others)."
E704044185,middle_paths_unrestricted_16,ARG,,0.8,Ferrari,Renault,lex (unique),[['NOPATH']],,,NONE,False,57,Ferrari could not keep up with the Honda/Renault assault.,Ferrari could not keep up with the Honda/Renault assault.
E704066745,middle_paths_unrestricted_16,ARG,,1.0,Ferrari,BMW,lex (unique),"[['X/PROPN/nsubj/> lead/VERB/ROOT/^ by/ADP/conj/< to/ADP/prep/<', 'Y/PROPN/pobj/<']]",,,NONE,False,93,"Ferrari was still leading the constructors' championship, but only by 3 points to BMW Sauber.","Ferrari was still leading the constructors' championship, but only by"", '3 points to BMW Sauber."
E718327191,middle_paths_unrestricted_16,NONE,,0.8333333333333334,Kingston,Google,lex (unique),"[['X/PROPN/nsubj/> be/VERB/ROOT/^ follow/VERB/xcomp/< Y/PROPN/dobj/<'], ['X/PROPN/nsubj/> be/VERB/ROOT/^ follow/VERB/xcomp/< the/DET/det/V', 'Y/PROPN/dobj/<']]",,,ARG,True,236,"Finding your way through Kingston can be tricky: follow the Google map and the cycle route signs for National Cycle Route 4 to emerge back on the towpath through Canbury Gardens, then carry on until you reach Ham House (National Trust).","Finding your way through Kingston can be tricky: follow the Google map', 'and the cycle route signs for National Cycle Route 4 to emerge back on', 'the towpath through Canbury Gardens, then carry on until you reach Ham', 'House (National Trust)."
E725456498,middle_paths_unrestricted_16,NONE,,1.0,Swift,Objective-C,lex (unique),"[['X/PROPN/compound/> language/NOUN/ROOT/^ look/VERB/relcl/<', 'supplant/VERB/advcl/< Y/PROPN/dobj/<']]",,,ARG,False,86,First was the Swift programming language that looks like it will supplant Objective-C.,"First was the Swift programming language that looks like it will', 'supplant Objective-C."
F735699882,middle_paths_unrestricted_16,NONE,,1.0,Sony,Apple,lex (unique),"[['X/ADJ/amod/> laptop/NOUN/ROOT/^ in/ADP/prep/< Y/PROPN/pobj/<'], ['X/ADJ/amod/> laptop/NOUN/ROOT/^ in/ADP/prep/< the/DET/det/V', 'Y/PROPN/pobj/<']]",,,ARG,False,81,"For a better example, go and buy a Sony laptop in the Apple store (Or vice versa)","For a better example, go and buy a Sony laptop in the Apple store (Or', 'vice versa)"
F736305181,middle_paths_unrestricted_16,NONE,,0.6,sandwich,sausage,lex (unique),[['X/PROPN/nsubj/> make/VERB/ROOT/^ with/ADP/prep/< Y/PROPN/pobj/<']],,,ARG,False,167,"For a franchise that boasts the mantra, ""Eat better, feel better,"" and serves breakfast all day, watch out for items like classic breakfast sandwich made with sausage.","For a franchise that boasts the mantra, ""Eat better, feel better,"" and', 'serves breakfast all day, watch out for items like classic breakfast', 'sandwich made with sausage."
F740340336,middle_paths_unrestricted_16,NONE,,0.8,Ford,Chrysler,lex (unique),[['X/PROPN/nsubj/> have/VERB/ROOT/^ Y/PROPN/conj/<']],,,ARG,True,44,"Ford had Mazda, and Chrysler had Mitsubishi.","Ford had Mazda, and Chrysler had Mitsubishi."
F756312670,middle_paths_unrestricted_16,NONE,,1.0,football,lacrosse,lex (unique),"[['X/ADJ/amod/> team/NOUN/ROOT/^ college/NOUN/conj/<', 'celebrate/VERB/relcl/< homecoming/VERB/xcomp/< during/ADP/prep/<', 'Y/PROPN/pobj/<']]",,,ARG,False,130,"For one thing, I went to a high school with a lousy football team and a college that celebrates Homecoming during lacrosse season.","For one thing, I went to a high school with a lousy football team and', 'a college that celebrates Homecoming during lacrosse season."
F759800838,middle_paths_unrestricted_16,ARG,,1.0,Groovy,Java,lex (unique),"[['X/PROPN/nsubj/> offer/VERB/ROOT/^ alternative/NOUN/dobj/<', 'syntax/NOUN/parataxis/< over/ADP/prep/< Y/PROPN/pobj/<']]",,,NONE,True,68,"For that, Groovy just offers alternative (better?) syntax over Java.","For that, Groovy just offers alternative (better?) syntax over Java."
F766948365,middle_paths_unrestricted_16,ARG,,1.0,laptop,phone,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ today/NOUN/npadvmod/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ work/VERB/conj/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ the/DET/det/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ cell/NOUN/compound/V Y/PROPN/pobj/<']]",,,NONE,True,151,"Fortunately, I got Verizon wireless broadband for my laptop today and it works OK from my uncle's farm, better than the cell phone, which works poorly.","Fortunately, I got Verizon wireless broadband for my laptop today and', ""it works OK from my uncle's farm, better than the cell phone, which"", 'works poorly."
F779151934,middle_paths_unrestricted_16,ARG,,0.6,Ruby,PHP,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], [""X/PROPN/ROOT/^ '/VERB/relcl/V Y/PROPN/pobj/<""]]",,,NONE,False,118,From (1) and (2) follows this question: Is it possible at all to write a web framework in Ruby that's faster than PHP?,"From (1) and (2) follows this question: Is it possible at all to write', ""a web framework in Ruby that's faster than PHP?"
F780770526,middle_paths_unrestricted_16,NONE,,1.0,fishing,skiing,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ for/ADP/prep/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ on/ADP/prep/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ kayak/VERB/conj/V Y/PROPN/pobj/<']]",,,ARG,False,94,From fishing for trout on Lake Superior and kayaking the Boundary Waters to skiing the... more,"From fishing for trout on Lake Superior and kayaking the Boundary', 'Waters to skiing the... more"
F781773821,middle_paths_unrestricted_16,NONE,,1.0,soup,pasta,lex (unique),[['X/PROPN/nsubj/> come/VERB/ROOT/^ Y/PROPN/dep/<']],,,ARG,True,98,"From Mexican by Better Homes and Gardens, this Mexican meatball soup comes with a surprise: pasta.","From Mexican by Better Homes and Gardens, this Mexican meatball soup', 'comes with a surprise: pasta."
F796579064,middle_paths_unrestricted_16,ARG,,0.6,gamecube,ps2,lex (unique),"[['X/PROPN/nsubj/> look/VERB/ROOT/^ solid/ADJ/acomp/< solid/ADJ/conj/<', 'as/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> look/VERB/ROOT/^ solid/ADJ/acomp/< solid/ADJ/conj/<', 'as/ADP/prep/< the/DET/det/V Y/PROPN/pobj/<']]",,,NONE,True,55,gamecube looks solid but not quite as solid as the ps2.,gamecube looks solid but not quite as solid as the ps2.
F801830848,middle_paths_unrestricted_16,ARG,,1.0,Honda,BMW,lex (unique),"[['X/PROPN/nsubj/> stop/VERB/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/nsubj/> with/ADP/prep/V stop/VERB/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/nsubj/> stop/VERB/ROOT/^ the/DET/det/V Y/PROPN/dobj/<']]",,,NONE,False,199,"Generally speaking, in a ""squeeze the brakes as hard as possible and let ABS take over"" kind of stop, the Yamaha and the Honda, with their faster cycling times, will out-stop the BMW by several feet.","Generally speaking, in a ""squeeze the brakes as hard as possible and', 'let ABS take over"" kind of stop, the Yamaha and the Honda, with their', 'faster cycling times, will out-stop the BMW by several feet."
F814268061,middle_paths_unrestricted_16,NONE,,1.0,oregon,virginia,lex (unique),"[['X/PROPN/nsubj/> true/ADJ/ROOT/^ boast/VERB/conj/< win/NOUN/dobj/<', 'over/ADP/prep/< Y/PROPN/pobj/<']]",,,ARG,True,163,"Gladow's take: A loss to Florida State is worse than a loss at oregon, true, but Boston College still boasts wins over virginia Tech, Georgia Tech and Wake Forest.","Gladow's take: A loss to Florida State is worse than a loss at oregon,"", 'true, but Boston College still boasts wins over virginia Tech, Georgia', 'Tech and Wake Forest."
F814705439,middle_paths_unrestricted_16,ARG,,1.0,plastic,concrete,lex (unique),"[['X/PROPN/compound/> be/VERB/ROOT/^ replace/VERB/relcl/< as/ADP/prep/<', 'Y/PROPN/pobj/<']]",,,NONE,True,171,Glass Fiber reinforced plastic technology is an innovative technology that is rapidly replacing the conventional materials such as concrete due to its superior properties.,"Glass Fiber reinforced plastic technology is an innovative technology', 'that is rapidly replacing the conventional materials such as concrete', 'due to its superior properties."
F816446267,middle_paths_unrestricted_16,ARG,,1.0,BMW,Toyota,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ develop/VERB/conj/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ engine/NOUN/compound/V Y/PROPN/pobj/<']]",,,NONE,True,259,"GM's point: Apply enough hybrid technology you developed (in a joint project with DaimlerChrysler and BMW) and you can develop a nearly three-ton SUV that gets better city mileage than a gasoline-engine Toyota Camry, a figure we verified in our recent review.","GM's point: Apply enough hybrid technology you developed (in a joint"", 'project with DaimlerChrysler and BMW) and you can develop a nearly', 'three-ton SUV that gets better city mileage than a gasoline-engine', 'Toyota Camry, a figure we verified in our recent review."
F821495545,middle_paths_unrestricted_16,NONE,,1.0,Apple,Google,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ good/ADJ/advmod/V Y/PROPN/pobj/<']]",,,ARG,True,34,"Good for Apple, better for Google?","Good for Apple, better for Google?"
F824255834,middle_paths_unrestricted_16,ARG,,0.8,Google,Apple,lex (unique),[['NOPATH']],,,NONE,True,33,Google better at FOSS than Apple?,Google better at FOSS than Apple?
F824385502,middle_paths_unrestricted_16,ARG,,1.0,PostgreSQL,Oracle,lex (unique),[['X/PROPN/npadvmod/> good/ADJ/ROOT/^ have/VERB/conj/< Y/PROPN/conj/<']],,,NONE,True,137,"Google for some combination of PostgreSQL, better than row-level locking, and MVCC for their claims that they have it and Oracle doesn't.","Google for some combination of PostgreSQL, better than row-level', 'locking, and MVCC for their claims that they have it and Oracle', ""doesn't."
F824508819,middle_paths_unrestricted_16,ARG,,0.6,google,facebook,lex (unique),[['NOPATH']],,,NONE,True,29,google+ is a better facebook.,google+ is a better facebook.
F824527377,middle_paths_unrestricted_16,NONE,,1.0,Google,IBM,lex (unique),"[['X/PROPN/nsubj/> be/VERB/ROOT/^ excited/ADJ/acomp/<', 'partner/NOUN/xcomp/< with/ADP/prep/< Y/PROPN/pobj/<']]",,,ARG,True,202,"Google is ""excited to partner with IBM to provide resources which will better equip students and researchers to address today's developing computational challenges,"" said the company's CEO Eric Schmidt.","Google is ""excited to partner with IBM to provide resources which will', ""better equip students and researchers to address today's developing"", 'computational challenges,"" said the company\'s CEO Eric Schmidt."
F824556825,middle_paths_unrestricted_16,ARG,,1.0,google,facebook,lex (unique),[['NOPATH']],,,NONE,True,38,google+ is simply worse than facebook.,google+ is simply worse than facebook.
F824714917,middle_paths_unrestricted_16,NONE,,1.0,google,youtube,lex (unique),"[['X/PROPN/nsubj/> release/VERB/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/nsubj/> release/VERB/ROOT/^ their/ADJ/poss/V Y/PROPN/dobj/<'], ['X/PROPN/nsubj/> release/VERB/ROOT/^ own/ADJ/amod/V Y/PROPN/dobj/<']]",,,ARG,False,59,google released their own youtube app that is far superior.,google released their own youtube app that is far superior.
F824845343,middle_paths_unrestricted_16,ARG,,1.0,google,facebook,lex (unique),[['NOPATH']],,,NONE,True,52,"google+ starts out far faster than facebook, Twitter","google+ starts out far faster than facebook, Twitter"
F824887276,middle_paths_unrestricted_16,NONE,,1.0,google,youtube,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ push/VERB/xcomp/V Y/PROPN/dobj/<']]",,,ARG,False,44,google to push youtube for better ad revenue,google to push youtube for better ad revenue
F832237933,middle_paths_unrestricted_16,ARG,,1.0,ds,ps3,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/appos/<'], ['X/PROPN/ROOT/^ not/ADV/neg/V Y/PROPN/appos/<']]",,,NONE,False,146,"Great graphics (remember this is a ds not a ps3), sound is better then what one of the review sites suggested, nothing fantastic, but good enough.","Great graphics (remember this is a ds not a ps3), sound is better then', 'what one of the review sites suggested, nothing fantastic, but good', 'enough."
F835981683,middle_paths_unrestricted_16,NONE,,1.0,Groovy,Java,lex (unique),"[['X/PROPN/nsubj/> be/VERB/ROOT/^ about/ADP/prep/< make/VERB/pcomp/<', 'Y/PROPN/dobj/<']]",,,ARG,False,74,"Groovy has always been about making Java better, rather than replacing it.","Groovy has always been about making Java better, rather than replacing', 'it."
F835982033,middle_paths_unrestricted_16,NONE,,0.6,Groovy,Java,lex (unique),"[[""X/PROPN/npadvmod/> love/VERB/ROOT/^ '/VERB/ccomp/< '/VERB/conj/<"", 'interop/NOUN/attr/< with/ADP/prep/< Y/PROPN/pobj/<']]",,,ARG,False,193,"Groovy - I love it's implicit goal of making life easier for the developer and it's interop with Java combined with features like it's XML processing, make it a great instant productivity tool.","Groovy - I love it's implicit goal of making life easier for the"", ""developer and it's interop with Java combined with features like it's"", 'XML processing, make it a great instant productivity tool."
F844526082,middle_paths_unrestricted_16,NONE,,0.8,halloween,thanksgiving,lex (unique),"[['X/PROPN/nsubj/> be/VERB/ROOT/^ be/VERB/conj/< time/NOUN/attr/<', 'start/VERB/relcl/< plan/VERB/xcomp/< Y/PROPN/dobj/<'], ['X/PROPN/nsubj/> be/VERB/ROOT/^ be/VERB/conj/< time/NOUN/attr/<', 'start/VERB/relcl/< plan/VERB/xcomp/< your/ADJ/poss/V Y/PROPN/dobj/<']]",,,ARG,True,103,"halloween is a short 12 days away, so there is no better time to start planning your thanksgiving meal.","halloween is a short 12 days away, so there is no better time to start', 'planning your thanksgiving meal."
F849870468,middle_paths_unrestricted_16,ARG,,1.0,harvard,princeton,lex (unique),"[['X/PROPN/nsubj/> have/VERB/ROOT/^ own/VERB/conj/< beat/VERB/conj/<', 'Y/PROPN/dobj/<']]",,,NONE,False,101,"harvard has the overall better record, owns first place and has already beaten princeton this season.","harvard has the overall better record, owns first place and has', 'already beaten princeton this season."
